Serial_Number,Schedule_Number,Depot_Code,Count,Depots
5549,258AB,43,1,43
1075,258B,40,2,40
5964,258B,40,2,"40,40"
1076,258BN,40,2,40
5492,258BN,4,2,"40,4"
1049,258C,40,16,40
1077,258C,40,16,"40,40"
1078,258C,40,16,"40,40,40"
1079,258C,40,16,"40,40,40,40"
1080,258C,40,16,"40,40,40,40,40"
1101,258C,40,16,"40,40,40,40,40,40"
1103,258C,40,16,"40,40,40,40,40,40,40"
1104,258C,40,16,"40,40,40,40,40,40,40,40"
1253,258C,22,16,"40,40,40,40,40,40,40,40,22"
1374,258C,43,16,"40,40,40,40,40,40,40,40,22,43"
1376,258C,43,16,"40,40,40,40,40,40,40,40,22,43,43"
5898,258C,40,16,"40,40,40,40,40,40,40,40,22,43,43,40"
5902,258C,40,16,"40,40,40,40,40,40,40,40,22,43,43,40,40"
5905,258C,40,16,"40,40,40,40,40,40,40,40,22,43,43,40,40,40"
6363,258C,40,16,"40,40,40,40,40,40,40,40,22,43,43,40,40,40,40"
6364,258C,43,16,"40,40,40,40,40,40,40,40,22,43,43,40,40,40,40,43"
1119,258CB,40,9,40
1362,258CB,43,9,"40,43"
3582,258CB,26,9,"40,43,26"
5797,258CB,40,9,"40,43,26,40"
5863,258CB,8,9,"40,43,26,40,8"
5904,258CB,40,9,"40,43,26,40,8,40"
5906,258CB,40,9,"40,43,26,40,8,40,40"
5907,258CB,40,9,"40,43,26,40,8,40,40,40"
5908,258CB,40,9,"40,43,26,40,8,40,40,40,40"
1088,258CC,40,5,40
1156,258CC,40,5,"40,40"
5578,258CC,40,5,"40,40,40"
5903,258CC,40,5,"40,40,40,40"
5912,258CC,40,5,"40,40,40,40,40"
1318,258E,43,1,43
1305,258F,43,1,43
1089,258G,40,1,40
1091,258GA,40,1,40
1443,258K,43,1,43
6536,258KA,40,1,40
1416,258M,43,4,43
1442,258M,43,4,"43,43"
3987,258M,43,4,"43,43,43"
6535,258M,40,4,"43,43,43,40"
1524,258MA,43,1,43
1559,258N,43,1,43
1537,258P,43,1,43
1181,258Q,40,1,40
1105,258QA,40,1,40
1129,258R,40,1,40
1449,258S,43,1,43
1483,258SA,43,1,43
1450,258SB,43,1,43
1413,258SD,43,1,43
1544,258T,43,1,43
1090,258TA,40,1,40
1155,258TB,40,1,40
1011,258TC,40,1,40
1569,258U,43,1,43
1404,258V,43,1,43
1545,258VA,40,1,40
1094,258VB,40,1,40
1154,258VC,40,1,40
1364,258VD,43,1,43
1096,258VF,40,1,40
1098,258VG,40,1,40
1360,258WA,43,1,43
1378,258X,43,1,43
1353,258Y,43,1,43
1110,258YA,40,1,40
1748,259B,9,1,9
2868,25A,4,9,4
2870,25A,4,9,"4,4"
2907,25A,4,9,"4,4,4"
3252,25A,4,9,"4,4,4,4"
3256,25A,4,9,"4,4,4,4,4"
3479,25A,4,9,"4,4,4,4,4,4"
3511,25A,4,9,"4,4,4,4,4,4,4"
3695,25A,4,9,"4,4,4,4,4,4,4,4"
5738,25A,4,9,"4,4,4,4,4,4,4,4,4"
3565,25B,3,4,3
3596,25B,4,4,"3,4"
5992,25B,4,4,"3,4,4"
6088,25B,4,4,"3,4,4,4"
2369,25C,2,1,2
3518,25E,4,4,4
3524,25E,4,4,"4,4"
3570,25E,3,4,"4,4,3"
3590,25E,4,4,"4,4,3,4"
3453,25G,4,5,4
3542,25G,4,5,"4,4"
3545,25G,4,5,"4,4,4"
3748,25G,4,5,"4,4,4,4"
3785,25G,4,5,"4,4,4,4,4"
3723,25H,4,1,4
3902,25J,3,1,3
3780,25K,4,1,4
2892,25N,4,1,4
4401,25Q,4,1,4
1260,263A,22,3,22
1306,263A,22,3,"22,22"
5824,263A,9,3,"22,22,9"
5969,263B,9,1,9
1749,263C,9,1,9
1867,263D,9,1,9
6476,263E,9,1,9
5694,263G,22,2,22
5697,263G,22,2,"22,22"
1307,263H,22,1,22
5601,263J,9,1,9
4324,263K,31,1,31
1410,263R,43,1,43
1264,264A,22,3,22
1750,264A,9,3,"22,9"
5687,264A,22,3,"22,9,22"
1249,265A,22,12,22
1277,265A,22,12,"22,22"
1278,265A,22,12,"22,22,22"
1326,265A,22,12,"22,22,22,22"
1327,265A,22,12,"22,22,22,22,22"
1458,265A,22,12,"22,22,22,22,22,22"
1642,265A,9,12,"22,22,22,22,22,22,9"
1649,265A,9,12,"22,22,22,22,22,22,9,9"
1706,265A,9,12,"22,22,22,22,22,22,9,9,9"
1709,265A,9,12,"22,22,22,22,22,22,9,9,9,9"
1790,265A,9,12,"22,22,22,22,22,22,9,9,9,9,9"
3136,265A,35,12,"22,22,22,22,22,22,9,9,9,9,9,35"
1329,265B,22,2,22
1792,265B,9,2,"22,9"
1280,265D,22,1,22
1112,265E,40,1,40
1182,265F,22,1,22
3608,266A,26,1,26
2262,266B,2,1,2
2257,266C,2,1,2
2277,266D,2,1,2
1128,266E,22,2,22
1335,266E,22,2,"22,22"
1338,266F,22,1,22
193,266G,30,1,30
3822,266H,26,1,26
2454,266K,8,1,8
241,266M,30,1,30
1783,266N,8,1,8
1954,266Q,8,1,8
244,266R,30,1,30
1904,266T,8,2,8
3124,266T,8,2,"8,8"
1342,267A,22,1,22
3700,269A,26,1,26
1255,269B,22,2,22
4459,269B,22,2,"22,22"
1267,270A,22,2,22
1411,270A,22,2,"22,22"
1844,270D,9,1,9
3090,270E,26,1,26
1446,270HA,22,2,22
2695,270HA,4,2,"22,4"
3530,270S,3,2,3
3877,270S,3,2,"3,3"
1257,271A,22,4,22
1293,271A,22,4,"22,22"
1859,271A,8,4,"22,22,8"
6523,271A,22,4,"22,22,8,22"
1261,271B,22,2,22
5588,271B,9,2,"22,9"
1827,271C,9,2,9
3497,271C,26,2,"9,26"
170,271D,30,4,30
172,271D,30,4,"30,30"
1858,271D,9,4,"30,30,9"
5600,271D,9,4,"30,30,9,9"
17,271E,11,1,11
1744,271F,9,2,9
5699,271F,22,2,"9,22"
5833,271G,22,1,22
2445,271K,8,1,8
1802,271L,8,1,8
3563,271N,26,1,26
3894,271P,26,2,26
3920,271P,26,2,"26,26"
2463,271Q,8,5,8
2467,271Q,8,5,"8,8"
3116,271Q,26,5,"8,8,26"
3289,271Q,26,5,"8,8,26,26"
3359,271Q,26,5,"8,8,26,26,26"
2465,271R,8,5,8
2470,271R,8,5,"8,8"
3080,271R,26,5,"8,8,26"
3290,271R,26,5,"8,8,26,26"
3361,271R,26,5,"8,8,26,26,26"
2472,271T,8,2,8
6351,271T,8,2,"8,8"
2530,271TA,8,1,8
1829,272B,9,1,9
2240,272E,8,1,8
1831,273B,9,3,9
3444,273B,3,3,"9,3"
5691,273B,22,3,"9,3,22"
1254,273C,22,11,22
1641,273C,9,11,"22,9"
1643,273C,9,11,"22,9,9"
1653,273C,9,11,"22,9,9,9"
1663,273C,9,11,"22,9,9,9,9"
1722,273C,9,11,"22,9,9,9,9,9"
1726,273C,9,11,"22,9,9,9,9,9,9"
1727,273C,9,11,"22,9,9,9,9,9,9,9"
1864,273C,9,11,"22,9,9,9,9,9,9,9,9"
2766,273C,8,11,"22,9,9,9,9,9,9,9,9,8"
4320,273C,9,11,"22,9,9,9,9,9,9,9,9,8,9"
5599,273E,9,1,9
1250,273F,22,3,22
1351,273F,22,3,"22,22"
1357,273F,22,3,"22,22,22"
1452,273H,22,1,22
1862,273J,9,1,9
1252,275A,22,2,22
1656,275A,9,2,"22,9"
2449,275B,8,1,8
2309,275C,8,2,8
4344,275C,9,2,"8,9"
167,276A,30,5,30
2092,276A,8,5,"30,8"
3295,276A,26,5,"30,8,26"
3607,276A,26,5,"30,8,26,26"
4422,276A,30,5,"30,8,26,26,30"
360,276B,30,2,30
3191,276B,26,2,"30,26"
2480,276C,8,2,8
3251,276C,26,2,"8,26"
6470,276D,8,1,8
2095,276E,8,2,8
2674,276E,8,2,"8,8"
3215,276K,26,1,26
3217,276N,33,1,33
264,276P,30,1,30
4512,278B,14,1,14
4481,278D,14,1,14
404,278E,14,7,14
1490,278E,23,7,"14,23"
2915,278E,8,7,"14,23,8"
3571,278E,26,7,"14,23,8,26"
4477,278E,14,7,"14,23,8,26,14"
5800,278E,26,7,"14,23,8,26,14,26"
6136,278E,14,7,"14,23,8,26,14,26,14"
6258,278K,14,1,14
2757,279A,8,2,8
3023,279A,26,2,"8,26"
7,279E,14,10,14
313,279E,30,10,"14,30"
400,279E,14,10,"14,30,14"
1857,279E,8,10,"14,30,14,8"
1882,279E,14,10,"14,30,14,8,14"
2147,279E,8,10,"14,30,14,8,14,8"
2437,279E,8,10,"14,30,14,8,14,8,8"
3522,279E,26,10,"14,30,14,8,14,8,8,26"
3612,279E,26,10,"14,30,14,8,14,8,8,26,26"
5688,279E,14,10,"14,30,14,8,14,8,8,26,26,14"
4806,279F,20,1,20
3805,279H,26,2,26
6239,279H,30,2,"26,30"
3493,279J,4,1,4
1604,279K,23,1,23
2541,27A,2,1,2
2544,27E,2,3,2
2720,27E,2,3,"2,2"
3466,27E,4,3,"2,2,4"
51,280A,11,3,11
52,280A,11,3,"11,11"
150,280A,30,3,"11,11,30"
