route_no,time,time_hr,time_min,min
TR-7,01:05 Min,1,5,65
G-10,01:05 Min,1,5,65
13E,01:05 Min,1,5,65
45J,01:05 Min,1,5,65
60F,01:05 Min,1,5,65
77E,01:05 Min,1,5,65
111E,01:05 Min,1,5,65
176A,01:05 Min,1,5,65
176CA,01:05 Min,1,5,65
201H,01:05 Min,1,5,65
210EA,01:05 Min,1,5,65
210Q,01:05 Min,1,5,65
211C,01:05 Min,1,5,65
211T,01:05 Min,1,5,65
212C,01:05 Min,1,5,65
213C,01:05 Min,1,5,65
215H,01:05 Min,1,5,65
218,01:05 Min,1,5,65
221F,01:05 Min,1,5,65
221H,01:05 Min,1,5,65
222A,01:05 Min,1,5,65
222D,01:05 Min,1,5,65
223A,01:05 Min,1,5,65
228,01:05 Min,1,5,65
229,01:05 Min,1,5,65
238UB,01:05 Min,1,5,65
238VA,01:05 Min,1,5,65
238VB,01:05 Min,1,5,65
240E,01:05 Min,1,5,65
241Q,01:05 Min,1,5,65
245M,01:05 Min,1,5,65
248AN,01:05 Min,1,5,65
248D,01:05 Min,1,5,65
248T,01:05 Min,1,5,65
250B,01:05 Min,1,5,65
250V,01:05 Min,1,5,65
252FB,01:05 Min,1,5,65
256B,01:05 Min,1,5,65
258Y,01:05 Min,1,5,65
266Q,01:05 Min,1,5,65
271N,01:05 Min,1,5,65
273E,01:05 Min,1,5,65
276,01:05 Min,1,5,65
276B,01:05 Min,1,5,65
280E,01:05 Min,1,5,65
282G,01:05 Min,1,5,65
285A,01:05 Min,1,5,65
285JE,01:05 Min,1,5,65
288H,01:05 Min,1,5,65
290T,01:05 Min,1,5,65
291D,01:05 Min,1,5,65
294A,01:05 Min,1,5,65
294F,01:05 Min,1,5,65
295E,01:05 Min,1,5,65
300K,01:05 Min,1,5,65
302D,01:05 Min,1,5,65
304F,01:05 Min,1,5,65
314BM,01:05 Min,1,5,65
314D,01:05 Min,1,5,65
315T,01:05 Min,1,5,65
316Q,01:05 Min,1,5,65
316U,01:05 Min,1,5,65
320C,01:05 Min,1,5,65
324C,01:05 Min,1,5,65
330P,01:05 Min,1,5,65
336,01:05 Min,1,5,65
337,01:05 Min,1,5,65
341C,01:05 Min,1,5,65
346C,01:05 Min,1,5,65
346D,01:05 Min,1,5,65
346G,01:05 Min,1,5,65
346H,01:05 Min,1,5,65
346T,01:05 Min,1,5,65
346V,01:05 Min,1,5,65
347C,01:05 Min,1,5,65
364F,01:05 Min,1,5,65
365K,01:05 Min,1,5,65
369G,01:05 Min,1,5,65
378H,01:05 Min,1,5,65
401BR,01:05 Min,1,5,65
401KB,01:05 Min,1,5,65
402,01:05 Min,1,5,65
410E,01:05 Min,1,5,65
410F,01:05 Min,1,5,65
500TA,01:05 Min,1,5,65
MBS-5,01:10 Min,1,10,70
G-9,01:10 Min,1,10,70
G-11,01:10 Min,1,10,70
TR-12,01:10 Min,1,10,70
13B,01:10 Min,1,10,70
13H,01:10 Min,1,10,70
15E,01:10 Min,1,10,70
25,01:10 Min,1,10,70
36G,01:10 Min,1,10,70
44,01:10 Min,1,10,70
144H,01:10 Min,1,10,70
176C,01:10 Min,1,10,70
176E,01:10 Min,1,10,70
177,01:10 Min,1,10,70
180,01:10 Min,1,10,70
201K,01:10 Min,1,10,70
201MD,01:10 Min,1,10,70
201MJ,01:10 Min,1,10,70
210G,01:10 Min,1,10,70
210WA,01:10 Min,1,10,70
210ZA,01:10 Min,1,10,70
215HA,01:10 Min,1,10,70
215NA,01:10 Min,1,10,70
217B,01:10 Min,1,10,70
225L,01:10 Min,1,10,70
226Z,01:10 Min,1,10,70
227D,01:10 Min,1,10,70
227N,01:10 Min,1,10,70
234E,01:10 Min,1,10,70
237J,01:10 Min,1,10,70
238ZA,01:10 Min,1,10,70
239B,01:10 Min,1,10,70
241K,01:10 Min,1,10,70
241L,01:10 Min,1,10,70
242B,01:10 Min,1,10,70
242Q,01:10 Min,1,10,70
243G,01:10 Min,1,10,70
245,01:10 Min,1,10,70
245GA,01:10 Min,1,10,70
245N,01:10 Min,1,10,70
245Q,01:10 Min,1,10,70
248N,01:10 Min,1,10,70
248P,01:10 Min,1,10,70
248U,01:10 Min,1,10,70
250E,01:10 Min,1,10,70
250F,01:10 Min,1,10,70
250SA,01:10 Min,1,10,70
252N,01:10 Min,1,10,70
254A,01:10 Min,1,10,70
257,01:10 Min,1,10,70
257D,01:10 Min,1,10,70
257E,01:10 Min,1,10,70
258X,01:10 Min,1,10,70
263,01:10 Min,1,10,70
263A,01:10 Min,1,10,70
263E,01:10 Min,1,10,70
268,01:10 Min,1,10,70
270,01:10 Min,1,10,70
271F,01:10 Min,1,10,70
271G,01:10 Min,1,10,70
280,01:10 Min,1,10,70
280A,01:10 Min,1,10,70
280K,01:10 Min,1,10,70
280L,01:10 Min,1,10,70
280M,01:10 Min,1,10,70
281,01:10 Min,1,10,70
282H,01:10 Min,1,10,70
289,01:10 Min,1,10,70
290Z,01:10 Min,1,10,70
291H,01:10 Min,1,10,70
294D,01:10 Min,1,10,70
295,01:10 Min,1,10,70
298PA,01:10 Min,1,10,70
298PC,01:10 Min,1,10,70
300H,01:10 Min,1,10,70
300V,01:10 Min,1,10,70
301,01:10 Min,1,10,70
301F,01:10 Min,1,10,70
302N,01:10 Min,1,10,70
304C,01:10 Min,1,10,70
304NA,01:10 Min,1,10,70
307A,01:10 Min,1,10,70
307B,01:10 Min,1,10,70
313E,01:10 Min,1,10,70
314B,01:10 Min,1,10,70
314H,01:10 Min,1,10,70
314T,01:10 Min,1,10,70
315F,01:10 Min,1,10,70
316L,01:10 Min,1,10,70
319F,01:10 Min,1,10,70
320,01:10 Min,1,10,70
320B,01:10 Min,1,10,70
320E,01:10 Min,1,10,70
321A,01:10 Min,1,10,70
324B,01:10 Min,1,10,70
324D,01:10 Min,1,10,70
324E,01:10 Min,1,10,70
329G,01:10 Min,1,10,70
331,01:10 Min,1,10,70
331B,01:10 Min,1,10,70
333B,01:10 Min,1,10,70
333K,01:10 Min,1,10,70
333N,01:10 Min,1,10,70
335,01:10 Min,1,10,70
341B,01:10 Min,1,10,70
342H,01:10 Min,1,10,70
342Q,01:10 Min,1,10,70
346E,01:10 Min,1,10,70
346M,01:10 Min,1,10,70
347F,01:10 Min,1,10,70
349,01:10 Min,1,10,70
349D,01:10 Min,1,10,70
350H,01:10 Min,1,10,70
365R,01:10 Min,1,10,70
366G,01:10 Min,1,10,70
366M,01:10 Min,1,10,70
366X,01:10 Min,1,10,70
367CA,01:10 Min,1,10,70
367F,01:10 Min,1,10,70
369F,01:10 Min,1,10,70
372H,01:10 Min,1,10,70
374F,01:10 Min,1,10,70
380M,01:10 Min,1,10,70
390,01:10 Min,1,10,70
